energy[MeV]     scat_coh[cm2/g] scat_incoh[cm2/g]       photo_abs[cm2/g]        pair_prod_NF[cm2/g]     pair_prod_EF[cm2/g] atten_tot_wCS[cm2/g] atten_tot_woCS[cm2/g]
1.000E-03 1.337E+00 1.046E-02 3.591E+03 0.000E+00 0.000E+00 3.593E+03 3.591E+03 
1.500E-03 1.223E+00 2.132E-02 1.184E+03 0.000E+00 0.000E+00 1.185E+03 1.184E+03 
2.000E-03 1.093E+00 3.364E-02 5.239E+02 0.000E+00 0.000E+00 5.250E+02 5.239E+02 
3.000E-03 8.446E-01 5.788E-02 1.604E+02 0.000E+00 0.000E+00 1.613E+02 1.605E+02 
4.000E-03 6.489E-01 7.820E-02 6.786E+01 0.000E+00 0.000E+00 6.859E+01 6.794E+01 
5.000E-03 5.082E-01 9.385E-02 3.446E+01 0.000E+00 0.000E+00 3.506E+01 3.456E+01 
6.000E-03 4.089E-01 1.057E-01 1.968E+01 0.000E+00 0.000E+00 2.020E+01 1.979E+01 
8.000E-03 2.853E-01 1.218E-01 8.047E+00 0.000E+00 0.000E+00 8.454E+00 8.169E+00 
1.000E-02 2.148E-01 1.322E-01 3.988E+00 0.000E+00 0.000E+00 4.335E+00 4.121E+00 
1.500E-02 1.268E-01 1.477E-01 1.094E+00 0.000E+00 0.000E+00 1.368E+00 1.241E+00 
2.000E-02 8.447E-02 1.561E-01 4.317E-01 0.000E+00 0.000E+00 6.723E-01 5.878E-01 
3.000E-02 4.454E-02 1.629E-01 1.148E-01 0.000E+00 0.000E+00 3.223E-01 2.778E-01 
4.000E-02 2.722E-02 1.635E-01 4.454E-02 0.000E+00 0.000E+00 2.353E-01 2.081E-01 
5.000E-02 1.832E-02 1.617E-01 2.130E-02 0.000E+00 0.000E+00 2.013E-01 1.830E-01 
6.000E-02 1.316E-02 1.589E-01 1.164E-02 0.000E+00 0.000E+00 1.837E-01 1.706E-01 
8.000E-02 7.702E-03 1.526E-01 4.486E-03 0.000E+00 0.000E+00 1.648E-01 1.571E-01 
1.000E-01 5.037E-03 1.463E-01 2.142E-03 0.000E+00 0.000E+00 1.534E-01 1.484E-01 
1.500E-01 2.294E-03 1.326E-01 5.647E-04 0.000E+00 0.000E+00 1.355E-01 1.332E-01 
2.000E-01 1.302E-03 1.218E-01 2.230E-04 0.000E+00 0.000E+00 1.234E-01 1.221E-01 
3.000E-01 5.827E-04 1.062E-01 6.280E-05 0.000E+00 0.000E+00 1.068E-01 1.063E-01 
4.000E-01 3.285E-04 9.523E-02 2.686E-05 0.000E+00 0.000E+00 9.559E-02 9.526E-02 
5.000E-01 2.105E-04 8.699E-02 1.446E-05 0.000E+00 0.000E+00 8.721E-02 8.700E-02 
6.000E-01 1.463E-04 8.049E-02 9.006E-06 0.000E+00 0.000E+00 8.065E-02 8.050E-02 
8.000E-01 8.232E-05 7.073E-02 4.544E-06 0.000E+00 0.000E+00 7.082E-02 7.074E-02 
1.000E+00 5.270E-05 6.360E-02 2.825E-06 0.000E+00 0.000E+00 6.366E-02 6.360E-02 
1.022E+00 5.047E-05 6.295E-02 2.625E-06 0.000E+00 0.000E+00 6.300E-02 6.295E-02 
1.250E+00 3.374E-05 5.689E-02 1.782E-06 1.745E-05 0.000E+00 5.694E-02 5.691E-02 
