energy[MeV]	TP
0.001	0.0
0.0015	0.0
0.002	0.0
0.003	0.0
0.004	8.882008843209064e-219
0.005	3.4855983350916205e-112
0.006	6.068169173504275e-65
0.008	1.3312386623438207e-27
0.01	1.6549689633027835e-14
0.015	4.4776551077680084e-05
0.02	0.007289878350320693
0.03	0.09449091919618618
0.04	0.17863559203851417
0.05	0.2291162626083005
0.06	0.26061974269173177
0.08	0.2992894998359425
0.1	0.32533645128902294
0.15	0.3708837772907091
0.2	0.40523264256287833
0.3	0.45759024805479476
0.4	0.4967226734993968
0.5	0.5281465877332482
0.6	0.5541267159808076
0.8	0.5954690794869419
1.0	0.6275108797534621
1.022	0.6305498653986724
1.25	0.6591504000794602
1.5	0.6843733352909326
2.0	0.7218856393504801
2.044	0.7246917250883069
3.0	0.7692976464751856
4.0	0.7982094200786576
5.0	0.817666010293362
6.0	0.8315488646417051
7.0	0.8419613796088412
8.0	0.84994956119243
9.0	0.8562567362127508
10.0	0.8614118215712862
11.0	0.8655835710099543
12.0	0.8690754579224229
13.0	0.8719429315073425
14.0	0.874435727133699
15.0	0.8764864197239802
16.0	0.8782847204056802
18.0	0.8811825795188835
20.0	0.8833784125496618
22.0	0.8849964857896077
24.0	0.8862282033541926
26.0	0.8872018227547126
28.0	0.8879814883510943
30.0	0.8885666871541087
40.0	0.8898033736420741
50.0	0.8896731151052141
60.0	0.8890221083937847
80.0	0.8872667687329827
100.0	0.8853852641768424
150.0	0.8814406292547826
200.0	0.8784776141799868
300.0	0.8745637547389628
400.0	0.8720705941382068
500.0	0.8702850169700137
600.0	0.8690118435081404
800.0	0.8672325291761499
1000.0	0.8660272126056291
1500.0	0.864254009348626
2000.0	0.8632423809137283
3000.0	0.8621688231287336
4000.0	0.8615379423246355
5000.0	0.8611596354504297
6000.0	0.8608445066199452
8000.0	0.8605294931062678
10000.0	0.8602775652950694
15000.0	0.8599627592453154
20000.0	0.8597739309135328
30000.0	0.8595851440441722
40000.0	0.8594593091614481
50000.0	0.8593963986281294
60000.0	0.8593963986281294
80000.0	0.8593334926997237
100000.0	0.8592705913758937
