id	ei[keV]	xi[cm]	yi[cm]	zi[cm]	xdi[cm]	ydi[cm]	zdi[cm]
1	6.041339000e+03	7.339900000e-01	1.017700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
2	7.831685000e+03	6.970800000e-01	-4.249200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
3	3.470339000e+03	-1.828400000e-01	-2.275600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
4	6.729603000e+03	3.257600000e-01	7.572800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
5	6.725458000e+03	3.429900000e-01	5.744600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
6	7.372099000e+03	5.844500000e-01	5.895900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
7	2.974486000e+03	1.873900000e-01	-9.630600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
8	1.043624000e+03	-1.327200000e-01	7.720600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
9	6.694157000e+03	1.439800000e-01	-6.711500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
10	7.845649000e+03	-1.338700000e-01	1.977900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
11	9.540465000e+03	8.709700000e-01	6.424000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
12	4.144517000e+03	-9.372200000e-01	5.234000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
13	8.510683000e+03	-4.514500000e-01	7.088000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
14	9.543270000e+03	4.021600000e-01	-1.954600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
15	4.218290000e+03	-9.622300000e-01	-5.203000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
16	2.565639000e+03	-5.540100000e-01	5.604000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
17	8.493470000e+02	-1.852000000e-02	-8.023900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
18	2.249903000e+03	-2.120800000e-01	-1.253800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
19	1.521110000e+03	-5.249600000e-01	3.838300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
20	2.025642000e+03	9.538600000e-01	-3.007000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
21	8.679524000e+03	8.715300000e-01	-7.389000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
22	9.500823000e+03	5.699500000e-01	-3.241000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
23	7.867538000e+03	3.868400000e-01	4.253200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
24	1.931310000e+02	-3.990000000e-03	-2.024100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
25	1.452790000e+03	-1.343800000e-01	-1.452800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
26	3.179947000e+03	-9.399600000e-01	3.612000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
27	1.433111000e+03	1.959000000e-02	-5.512000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
28	3.809690000e+02	9.790600000e-01	1.700000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
29	3.208732000e+03	3.446100000e-01	6.527700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
30	9.714368000e+03	7.567800000e-01	3.139600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
31	3.872804000e+03	2.514100000e-01	9.137000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
32	9.524071000e+03	3.128900000e-01	7.046000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
33	2.211456000e+03	-7.546000000e-02	-9.931000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
34	5.672587000e+03	-4.454500000e-01	-1.286500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
35	8.488888000e+03	-7.523400000e-01	-5.003000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
36	7.429684000e+03	-1.582000000e-01	5.858000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
37	1.759800000e+01	-3.400500000e-01	6.416500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
38	1.444488000e+03	6.036600000e-01	4.714100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
39	3.377610000e+03	-6.894800000e-01	3.453300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
40	7.703812000e+03	-4.048600000e-01	-3.688400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
41	4.920053000e+03	-2.759000000e-02	1.854900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
42	6.526046000e+03	4.423100000e-01	-2.908500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
43	7.251198000e+03	-3.765600000e-01	-6.573600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
44	2.250148000e+03	-3.969300000e-01	-1.677800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
45	9.165173000e+03	-3.905300000e-01	-1.762500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
46	1.443559000e+03	2.201800000e-01	8.814800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
47	4.098250000e+02	5.499400000e-01	-4.081100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
48	8.040587000e+03	7.410000000e-01	3.508700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
49	3.330988000e+03	-6.660800000e-01	-2.133000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
50	5.592616000e+03	-3.024400000e-01	7.025700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
51	3.287620000e+02	5.280100000e-01	3.658900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
52	3.705842000e+03	2.546600000e-01	7.196400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
53	2.566006000e+03	-4.553500000e-01	-7.721300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
54	2.784644000e+03	-6.790800000e-01	4.961600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
55	3.345500000e+03	-8.628000000e-02	-4.094400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
56	1.069995000e+03	2.692800000e-01	1.176100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
57	1.479646000e+03	-3.156300000e-01	9.266300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
58	9.950556000e+03	1.915300000e-01	-7.347000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
59	5.856327000e+03	4.478900000e-01	8.760400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
60	6.337828000e+03	1.816100000e-01	-3.208100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
61	2.940067000e+03	2.326600000e-01	6.912400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
62	2.045898000e+03	-1.868600000e-01	2.177800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
63	1.275937000e+03	-5.112000000e-02	-9.189700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
64	6.387526000e+03	1.077600000e-01	-5.799200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
65	3.414703000e+03	-8.672400000e-01	4.414400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
66	8.458541000e+03	3.010000000e-01	8.677800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
67	9.984143000e+03	-2.572200000e-01	-1.640000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
68	2.821276000e+03	8.636500000e-01	3.756100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
69	8.360418000e+03	1.343200000e-01	3.774000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
70	7.779872000e+03	-6.508100000e-01	2.455000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
71	7.787429000e+03	3.836000000e-01	-8.120600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
72	4.249630000e+02	4.175100000e-01	-5.200300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
73	1.799223000e+03	-7.477900000e-01	6.147700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
74	6.113045000e+03	-8.457700000e-01	-4.940000000e-03	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
75	1.615608000e+03	3.312400000e-01	2.857300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
76	1.362710000e+02	7.439100000e-01	3.019100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
77	4.473163000e+03	-5.441000000e-01	-5.490000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
78	3.032406000e+03	1.891300000e-01	-1.039400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
79	2.867840000e+02	1.769300000e-01	-4.104600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
80	2.025877000e+03	1.319600000e-01	7.020200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
81	6.253879000e+03	3.514100000e-01	3.131600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
82	1.469370000e+03	-8.879800000e-01	3.481000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
83	3.567281000e+03	-3.429900000e-01	-1.746800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
84	4.295674000e+03	1.036100000e-01	5.535000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
85	3.468369000e+03	5.257500000e-01	-6.488500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
86	8.026829000e+03	7.735400000e-01	4.645200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
87	7.829191000e+03	5.630100000e-01	-6.938700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
88	6.216516000e+03	8.345000000e-02	6.301400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
89	6.022400000e+03	2.048000000e-01	-1.772100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
90	2.131459000e+03	3.897300000e-01	7.464200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
91	6.319931000e+03	1.797300000e-01	-1.304900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
92	9.699251000e+03	-2.285600000e-01	3.921300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
93	3.577266000e+03	-2.927900000e-01	7.252000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
94	3.622689000e+03	5.004000000e-01	-5.237300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
95	2.201030000e+02	7.379600000e-01	5.947100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
96	2.619215000e+03	-5.792000000e-02	-1.816200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
