id	em[keV]	xm[cm]	ym[cm]	zm[cm]	xdm[cm]	ydm[cm]	zdm[cm]
1	6.041339000e+03	7.339900000e-01	1.017700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
2	7.831685000e+03	6.970800000e-01	-4.249200000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
3	3.470339000e+03	-1.828400000e-01	-2.275600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
4	6.729603000e+03	3.257600000e-01	7.572800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
6	7.372099000e+03	5.844500000e-01	5.895900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
7	2.974486000e+03	1.873900000e-01	-9.630600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
8	9.084030000e+02	-7.095910828e+05	-6.271015690e+03	3.310000000e+06	-3.693800000e-01	-3.260000000e-03	-9.292700000e-01
9	6.694157000e+03	1.439800000e-01	-6.711500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
10	7.845649000e+03	-1.338700000e-01	1.977900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
11	9.540465000e+03	8.709700000e-01	6.424000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
13	1.029888000e+03	1.415906446e+06	1.125486839e+06	3.310000000e+06	6.476000000e-01	5.147700000e-01	-5.618000000e-01
14	6.496050000e+02	3.246863507e+05	5.633753403e+05	3.310000000e+06	4.807500000e-01	8.341700000e-01	-2.702800000e-01
15	4.218290000e+03	-9.622300000e-01	-5.203000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
16	2.565639000e+03	-5.540100000e-01	5.604000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
17	8.493470000e+02	-1.852000000e-02	-8.023900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
18	2.249903000e+03	-2.120800000e-01	-1.253800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
19	1.091146000e+03	4.234196067e+05	1.776642976e+05	3.310000000e+06	4.294600000e-01	1.802000000e-01	-8.849300000e-01
20	2.025642000e+03	9.538600000e-01	-3.007000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
21	5.109990000e+02	-6.518925665e+05	4.840243483e+05	3.310000000e+06	-6.598500000e-01	3.164000000e-01	-6.815300000e-01
22	9.500823000e+03	5.699500000e-01	-3.241000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
23	7.867538000e+03	3.868400000e-01	4.253200000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
24	1.931310000e+02	-3.990000000e-03	-2.024100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
25	1.452790000e+03	-1.343800000e-01	-1.452800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
26	3.179947000e+03	-9.399600000e-01	3.612000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
27	1.433111000e+03	1.959000000e-02	-5.512000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
28	1.314270000e+02	-8.670861983e+05	-1.377046630e+04	3.310000000e+06	-7.904800000e-01	-4.348900000e-01	-4.312900000e-01
29	8.790390000e+02	2.275510380e+05	-1.125645197e+06	3.310000000e+06	1.614300000e-01	-7.985600000e-01	-5.798600000e-01
30	9.714368000e+03	7.567800000e-01	3.139600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
31	3.872804000e+03	2.514100000e-01	9.137000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
32	9.524071000e+03	3.128900000e-01	7.046000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
33	2.211456000e+03	-7.546000000e-02	-9.931000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
34	5.672587000e+03	-4.454500000e-01	-1.286500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
36	1.112325000e+03	3.905044568e+05	-1.528670655e+06	3.310000000e+06	1.702800000e-01	-5.787500000e-01	-7.975300000e-01
38	1.444488000e+03	6.036600000e-01	4.714100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
39	3.377610000e+03	-6.894800000e-01	3.453300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
40	1.594740000e+02	-1.072527549e+05	3.154358294e+04	3.310000000e+06	-6.511300000e-01	7.437200000e-01	-1.513700000e-01
41	4.920053000e+03	-2.759000000e-02	1.854900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
42	6.526046000e+03	4.423100000e-01	-2.908500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
43	7.251198000e+03	-3.765600000e-01	-6.573600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
45	9.165173000e+03	-3.905300000e-01	-1.762500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
46	1.393526000e+03	9.454141156e+04	1.783665393e+05	3.310000000e+06	8.564000000e-02	1.615700000e-01	-9.831400000e-01
47	4.098250000e+02	5.499400000e-01	-4.081100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
48	8.040587000e+03	7.410000000e-01	3.508700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
49	3.330988000e+03	-6.660800000e-01	-2.133000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
50	5.592616000e+03	-3.024400000e-01	7.025700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
51	3.287620000e+02	5.280100000e-01	3.658900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
52	3.705842000e+03	2.546600000e-01	7.196400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
53	1.428750000e+02	-5.647771591e+06	-3.087804674e+06	3.310000000e+06	-2.035100000e-01	-2.553000000e-02	-9.787400000e-01
54	2.784644000e+03	-6.790800000e-01	4.961600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
55	3.345500000e+03	-8.628000000e-02	-4.094400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
56	1.069995000e+03	2.692800000e-01	1.176100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
57	1.479646000e+03	-3.156300000e-01	9.266300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
58	9.950556000e+03	1.915300000e-01	-7.347000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
59	5.856327000e+03	4.478900000e-01	8.760400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
60	6.337828000e+03	1.816100000e-01	-3.208100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
61	1.164919000e+03	-3.240099920e+04	-9.519781174e+04	3.310000000e+06	-2.184100000e-01	-6.417200000e-01	-7.351800000e-01
62	2.045898000e+03	-1.868600000e-01	2.177800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
