altitude[km]	mass_density[kg/m3]	N2[m-3]	O2[m-3]	O[m-3]	He[m-3]	H[m-3]	Ar[m-3]	N[m-3]	anomalous_oxygen[m-3]	NO[m-3]	Temperature[k]
0.000000e+00	1.176653e+00	1.911429e+25	5.125639e+24	0.000000e+00	1.272904e+20	0.000000e+00	2.284374e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.966827e+02
1.000000e-01	1.164742e+00	1.892081e+25	5.073756e+24	0.000000e+00	1.260020e+20	0.000000e+00	2.261251e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.962918e+02
2.000000e-01	1.152961e+00	1.872944e+25	5.022437e+24	0.000000e+00	1.247275e+20	0.000000e+00	2.238379e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.958947e+02
3.000000e-01	1.141304e+00	1.854006e+25	4.971656e+24	0.000000e+00	1.234664e+20	0.000000e+00	2.215747e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.954918e+02
4.000000e-01	1.129777e+00	1.835282e+25	4.921444e+24	0.000000e+00	1.222195e+20	0.000000e+00	2.193369e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.950832e+02
5.000000e-01	1.118367e+00	1.816746e+25	4.871740e+24	0.000000e+00	1.209851e+20	0.000000e+00	2.171217e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.946690e+02
6.000000e-01	1.107080e+00	1.798412e+25	4.822574e+24	0.000000e+00	1.197641e+20	0.000000e+00	2.149305e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.942495e+02
7.000000e-01	1.095908e+00	1.780262e+25	4.773904e+24	0.000000e+00	1.185554e+20	0.000000e+00	2.127614e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.938250e+02
8.000000e-01	1.084852e+00	1.762302e+25	4.725744e+24	0.000000e+00	1.173594e+20	0.000000e+00	2.106151e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.933955e+02
9.000000e-01	1.073908e+00	1.744524e+25	4.678070e+24	0.000000e+00	1.161755e+20	0.000000e+00	2.084903e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.929612e+02
1.000000e+00	1.063078e+00	1.726931e+25	4.630894e+24	0.000000e+00	1.150039e+20	0.000000e+00	2.063878e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.925224e+02
1.100000e+00	1.052353e+00	1.709510e+25	4.584176e+24	0.000000e+00	1.138437e+20	0.000000e+00	2.043057e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.920792e+02
1.200000e+00	1.041741e+00	1.692270e+25	4.537947e+24	0.000000e+00	1.126957e+20	0.000000e+00	2.022454e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.916319e+02
1.300000e+00	1.031232e+00	1.675198e+25	4.492168e+24	0.000000e+00	1.115588e+20	0.000000e+00	2.002051e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.911805e+02
1.400000e+00	1.020824e+00	1.658292e+25	4.446833e+24	0.000000e+00	1.104329e+20	0.000000e+00	1.981846e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.907254e+02
1.500000e+00	1.010522e+00	1.641557e+25	4.401955e+24	0.000000e+00	1.093184e+20	0.000000e+00	1.961845e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.902666e+02
1.600000e+00	1.000316e+00	1.624977e+25	4.357497e+24	0.000000e+00	1.082144e+20	0.000000e+00	1.942032e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.898044e+02
1.700000e+00	9.902136e-01	1.608566e+25	4.313489e+24	0.000000e+00	1.071214e+20	0.000000e+00	1.922418e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.893389e+02
1.800000e+00	9.802017e-01	1.592302e+25	4.269875e+24	0.000000e+00	1.060384e+20	0.000000e+00	1.902981e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.888703e+02
1.900000e+00	9.702910e-01	1.576202e+25	4.226703e+24	0.000000e+00	1.049662e+20	0.000000e+00	1.883740e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.883988e+02
2.000000e+00	9.604732e-01	1.560254e+25	4.183935e+24	0.000000e+00	1.039041e+20	0.000000e+00	1.864679e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.879246e+02
2.100000e+00	9.507473e-01	1.544454e+25	4.141569e+24	0.000000e+00	1.028520e+20	0.000000e+00	1.845798e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.874477e+02
2.200000e+00	9.411094e-01	1.528798e+25	4.099585e+24	0.000000e+00	1.018093e+20	0.000000e+00	1.827086e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.869684e+02
2.300000e+00	9.315619e-01	1.513288e+25	4.057995e+24	0.000000e+00	1.007765e+20	0.000000e+00	1.808550e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.864869e+02
2.400000e+00	9.221043e-01	1.497925e+25	4.016796e+24	0.000000e+00	9.975337e+19	0.000000e+00	1.790189e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.860033e+02
2.500000e+00	9.127287e-01	1.482695e+25	3.975955e+24	0.000000e+00	9.873912e+19	0.000000e+00	1.771988e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.855178e+02
2.600000e+00	9.034451e-01	1.467614e+25	3.935515e+24	0.000000e+00	9.773481e+19	0.000000e+00	1.753964e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.850306e+02
2.700000e+00	8.942423e-01	1.452664e+25	3.895426e+24	0.000000e+00	9.673925e+19	0.000000e+00	1.736097e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.845417e+02
2.800000e+00	8.851197e-01	1.437845e+25	3.855687e+24	0.000000e+00	9.575236e+19	0.000000e+00	1.718387e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.840514e+02
2.900000e+00	8.760834e-01	1.423166e+25	3.816324e+24	0.000000e+00	9.477482e+19	0.000000e+00	1.700844e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.835598e+02
3.000000e+00	8.671262e-01	1.408615e+25	3.777305e+24	0.000000e+00	9.380583e+19	0.000000e+00	1.683454e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.830671e+02
3.100000e+00	8.582507e-01	1.394197e+25	3.738642e+24	0.000000e+00	9.284567e+19	0.000000e+00	1.666223e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.825735e+02
3.200000e+00	8.494499e-01	1.379900e+25	3.700305e+24	0.000000e+00	9.189360e+19	0.000000e+00	1.649137e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.820789e+02
3.300000e+00	8.407297e-01	1.365735e+25	3.662319e+24	0.000000e+00	9.095025e+19	0.000000e+00	1.632207e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.815838e+02
3.400000e+00	8.320831e-01	1.351689e+25	3.624653e+24	0.000000e+00	9.001486e+19	0.000000e+00	1.615421e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.810880e+02
3.500000e+00	8.235160e-01	1.337772e+25	3.587334e+24	0.000000e+00	8.908808e+19	0.000000e+00	1.598788e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.805919e+02
3.600000e+00	8.150186e-01	1.323968e+25	3.550318e+24	0.000000e+00	8.816882e+19	0.000000e+00	1.582291e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.800956e+02
3.700000e+00	8.065965e-01	1.310287e+25	3.513630e+24	0.000000e+00	8.725772e+19	0.000000e+00	1.565941e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.795991e+02
3.800000e+00	7.982492e-01	1.296727e+25	3.477269e+24	0.000000e+00	8.635470e+19	0.000000e+00	1.549735e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.791027e+02
3.900000e+00	7.899673e-01	1.283273e+25	3.441191e+24	0.000000e+00	8.545876e+19	0.000000e+00	1.533656e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.786064e+02
4.000000e+00	7.817591e-01	1.269939e+25	3.405436e+24	0.000000e+00	8.457082e+19	0.000000e+00	1.517721e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.781104e+02
4.100000e+00	7.736247e-01	1.256725e+25	3.370001e+24	0.000000e+00	8.369082e+19	0.000000e+00	1.501929e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.776149e+02
4.200000e+00	7.655544e-01	1.243615e+25	3.334846e+24	0.000000e+00	8.281778e+19	0.000000e+00	1.486261e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.771199e+02
4.300000e+00	7.575567e-01	1.230623e+25	3.300008e+24	0.000000e+00	8.195259e+19	0.000000e+00	1.470734e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.766256e+02
4.400000e+00	7.496226e-01	1.217735e+25	3.265445e+24	0.000000e+00	8.109427e+19	0.000000e+00	1.455330e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.761322e+02
4.500000e+00	7.417574e-01	1.204958e+25	3.231184e+24	0.000000e+00	8.024341e+19	0.000000e+00	1.440061e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.756396e+02
4.600000e+00	7.339551e-01	1.192283e+25	3.197196e+24	0.000000e+00	7.939937e+19	0.000000e+00	1.424913e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.751482e+02
4.700000e+00	7.262238e-01	1.179724e+25	3.163518e+24	0.000000e+00	7.856299e+19	0.000000e+00	1.409904e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.746579e+02
4.800000e+00	7.185549e-01	1.167266e+25	3.130110e+24	0.000000e+00	7.773335e+19	0.000000e+00	1.395015e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.741689e+02
4.900000e+00	7.109505e-01	1.154913e+25	3.096985e+24	0.000000e+00	7.691072e+19	0.000000e+00	1.380252e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.736814e+02
5.000000e+00	7.034052e-01	1.142656e+25	3.064117e+24	0.000000e+00	7.609446e+19	0.000000e+00	1.365603e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.731954e+02
5.100000e+00	6.959293e-01	1.130512e+25	3.031551e+24	0.000000e+00	7.528572e+19	0.000000e+00	1.351089e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.727110e+02
5.200000e+00	6.885145e-01	1.118467e+25	2.999252e+24	0.000000e+00	7.448360e+19	0.000000e+00	1.336694e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.722278e+02
5.300000e+00	6.811631e-01	1.106525e+25	2.967228e+24	0.000000e+00	7.368832e+19	0.000000e+00	1.322422e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.717453e+02
5.400000e+00	6.738774e-01	1.094689e+25	2.935490e+24	0.000000e+00	7.290015e+19	0.000000e+00	1.308277e+23	0.000000e+00	0.000000e+00	0.000000e+00	2.712629e+02
